tickMs,frameSerial,sensorSampleTime,qx,qy,qz,qw
58841078,19834,58841.148436556,-0.10806248,-0.14288351,0.00431379,-0.98381311
58841093,19835,58841.162325456,-0.10806223,-0.14291297,0.00429580,-0.98380899
58841109,19836,58841.176214456,-0.10810286,-0.14283189,0.00427400,-0.98381633
58841125,19837,58841.190103656,-0.10813532,-0.14285474,0.00428412,-0.98380941
58841140,19838,58841.203992856,-0.10808896,-0.14286822,0.00431388,-0.98381251
58841156,19839,58841.217881856,-0.10809092,-0.14282525,0.00427799,-0.98381859
58841171,19840,58841.231770956,-0.10810798,-0.14284050,0.00434188,-0.98381424
58841187,19841,58841.245660156,-0.10812081,-0.14285922,0.00426462,-0.98381042
58841187,19842,58841.259549356,-0.10810904,-0.14286667,0.00432197,-0.98381042
58841203,19843,58841.273438256,-0.10810573,-0.14280896,0.00433909,-0.98381907
58841218,19844,58841.287327456,-0.10812803,-0.14288646,0.00435981,-0.98380536
58841234,19845,58841.301216356,-0.10814168,-0.14284869,0.00429399,-0.98380959
58841250,19846,58841.315105256,-0.10812154,-0.14283139,0.00425496,-0.98381442
58841265,19847,58841.328994356,-0.10810311,-0.14283721,0.00434022,-0.98381531
58841281,19848,58841.342883456,-0.10810994,-0.14284630,0.00432397,-0.98381323
58841296,19849,58841.358011763,-0.10813434,-0.14282037,0.00431702,-0.98381436
58841312,19850,58841.373637206,-0.10810532,-0.14287101,0.00434941,-0.98381007
58841312,19851,58841.389031630,-0.10810626,-0.14287186,0.00435199,-0.98380989
58841328,19852,58841.404129940,-0.10810149,-0.14289451,0.00435556,-0.98380703
58841343,19853,58841.418952497,-0.10807218,-0.14287712,0.00430550,-0.98381299
58841359,19854,58841.433490491,-0.10811359,-0.14285691,0.00427074,-0.98381150
58841375,19855,58841.447773072,-0.10810164,-0.14281261,0.00428791,-0.98381919
58841390,19856,58841.461758273,-0.10810091,-0.14286932,0.00433513,-0.98381090
58841406,19857,58841.475736605,-0.10806911,-0.14281805,0.00428960,-0.98382205
